tm     Tsp    T1     Q1    
   0.0  20.95  20.95   0.00
   1.0  20.95  20.95   0.00
   2.0  20.95  20.95   0.00
   3.0  20.95  20.63   0.13
   4.0  20.95  20.95   0.13
   5.0  20.95  20.63   0.26
   6.0  20.95  20.95   0.27
   7.0  20.95  20.95   0.27
   8.0  20.95  20.95   0.28
   9.0  20.95  20.95   0.28
  10.1  20.95  20.95   0.28
  11.1  20.95  20.95   0.29
  12.1  20.95  20.95   0.29
  13.1  20.95  20.95   0.29
  14.1  20.95  20.95   0.30
  15.0  20.95  20.95   0.30
  16.0  20.95  20.95   0.30
  17.1  20.95  20.95   0.31
  18.1  20.95  20.95   0.18
  19.0  20.95  20.95   0.18
  20.0  20.95  20.95   0.05
  21.0  20.95  20.95   0.05
  22.0  20.95  20.95   0.05
  23.1  20.95  20.95   0.05
  24.1  20.95  20.95   0.05
  25.1  20.95  20.95   0.05
  26.0  20.95  20.95   0.05
  27.1  20.95  20.95   0.05
  28.1  20.95  20.95   0.05
  29.1  20.95  20.95   0.05
  30.0  58.00  20.95  15.07
  31.0  58.00  20.95  30.28
  32.0  58.00  20.95  45.70
  33.1  58.00  20.95  61.31
  34.0  58.00  20.95  77.12
  35.0  58.00  20.95  93.12
  36.0  58.00  20.95 100.00
  37.0  58.00  20.95 100.00
  38.1  58.00  21.27 100.00
  39.1  58.00  21.27 100.00
  40.1  58.00  21.27 100.00
  41.0  58.00  21.59 100.00
  42.0  58.00  21.59 100.00
  43.0  58.00  21.92 100.00
  44.0  58.00  22.24 100.00
  45.1  58.00  22.24 100.00
  46.0  58.00  22.56 100.00
  47.1  58.00  22.56 100.00
  48.0  58.00  22.88 100.00
  49.1  58.00  23.21 100.00
  50.0  58.00  23.53 100.00
  51.0  58.00  23.85 100.00
  52.0  58.00  23.85 100.00
  53.1  58.00  24.17 100.00
  54.1  58.00  24.49 100.00
  55.1  58.00  24.82 100.00
  56.1  58.00  25.14 100.00
  57.0  58.00  25.46 100.00
  58.0  58.00  25.78 100.00
  59.1  58.00  26.11 100.00
  60.1  58.00  26.11 100.00
  61.1  58.00  26.43 100.00
  62.1  58.00  26.75 100.00
  63.0  58.00  27.07 100.00
  64.1  58.00  27.40 100.00
  65.1  58.00  27.72 100.00
  66.1  58.00  28.04 100.00
  67.1  58.00  28.36 100.00
  68.0  58.00  28.68 100.00
  69.0  58.00  29.01 100.00
  70.1  58.00  29.33 100.00
  71.1  58.00  29.65 100.00
  72.1  58.00  29.97 100.00
  73.0  58.00  30.30 100.00
  74.0  58.00  30.62 100.00
  75.0  58.00  30.94 100.00
  76.0  58.00  31.26 100.00
  77.0  58.00  31.59 100.00
  78.0  58.00  31.91 100.00
  79.0  58.00  32.23 100.00
  80.1  58.00  32.55 100.00
  81.0  58.00  32.87 100.00
  82.0  58.00  33.20 100.00
  83.1  58.00  33.52 100.00
  84.1  58.00  33.84 100.00
  85.0  58.00  34.16 100.00
  86.1  58.00  34.49 100.00
  87.0  58.00  34.49 100.00
  88.0  58.00  35.13 100.00
  89.0  58.00  35.13 100.00
  90.0  58.00  35.45 100.00
  91.0  58.00  36.10 100.00
  92.0  58.00  36.10 100.00
  93.1  58.00  36.42 100.00
  94.0  58.00  36.74 100.00
  95.1  58.00  37.06 100.00
  96.0  58.00  37.39 100.00
  97.0  58.00  37.71 100.00
  98.0  58.00  38.03 100.00
  99.1  58.00  38.35 100.00
 100.0  58.00  38.68 100.00
 101.0  58.00  38.68 100.00
 102.0  58.00  39.32 100.00
 103.0  58.00  39.32 100.00
 104.0  58.00  39.64 100.00
 105.0  58.00  39.97 100.00
 106.0  58.00  40.29 100.00
 107.0  58.00  40.61 100.00
 108.0  58.00  40.93 100.00
 109.0  58.00  41.25 100.00
 110.1  58.00  41.58 100.00
 111.0  58.00  41.58 100.00
 112.0  58.00  41.90 100.00
 113.1  58.00  42.22 100.00
 114.1  58.00  42.54 100.00
 115.1  58.00  42.87 100.00
 116.0  58.00  43.19 100.00
 117.0  58.00  43.19 100.00
 118.0  58.00  43.51 100.00
 119.0  58.00  43.83 100.00
 120.1  58.00  44.16 100.00
 121.1  58.00  44.16  98.44
 122.1  58.00  44.48  98.11
 123.0  58.00  44.80  97.76
 124.0  58.00  45.12  97.39
 125.0  58.00  45.44  97.00
 126.1  58.00  45.44  96.59
 127.1  58.00  45.77  96.16
 128.0  58.00  46.09  95.71
 129.1  58.00  46.41  95.24
 130.1  58.00  46.41  94.88
 131.0  58.00  46.73  94.50
 132.0  58.00  47.06  93.96
 133.0  58.00  47.38  93.41
 134.0  58.00  47.38  92.97
 135.0  58.00  47.70  92.51
 136.1  58.00  48.02  91.90
 137.0  58.00  48.34  91.27
 138.0  58.00  48.34  90.75
 139.0  58.00  48.67  90.21
 140.0  58.00  48.67  89.79
 141.0  58.00  48.99  89.21
 142.0  58.00  49.31  88.62
 143.0  58.00  49.31  88.13
 144.0  58.00  49.63  87.63
 145.0  58.00  49.96  86.99
 146.1  58.00  49.96  86.45
 147.1  58.00  50.28  85.90
 148.1  58.00  50.60  85.33
 149.1  58.00  50.60  84.74
 150.0  58.00  50.92  84.14
 151.0  58.00  50.92  83.65
 152.1  58.00  50.92  83.27
 153.1  58.00  51.25  82.75
 154.0  58.00  51.57  82.21
 155.1  58.00  51.57  81.66
 156.1  58.00  51.89  81.10
 157.1  58.00  51.89  80.64
 158.0  58.00  52.21  80.05
 159.0  58.00  52.21  79.57
 160.0  58.00  52.53  79.07
 161.0  58.00  52.53  78.56
 162.0  58.00  52.53  78.17
 163.1  58.00  52.86  77.77
 164.1  58.00  53.18  77.22
